Data,Fit
0.0000,0.033329,1.545392
0.0000,0.066855,1.545392
0.0000,0.198707,1.545392
0.0000,0.114194,1.545392
0.0000,0.068345,1.545392
0.0000,-0.007056,1.545392
0.0000,0.001856,1.545392
0.0000,0.283479,1.545392
0.0000,0.227763,1.545392
0.0000,0.199298,1.545392
0.0000,-0.091242,1.545392
0.0000,-0.410765,1.545392
0.0000,0.053789,1.545392
0.0000,0.103923,1.545392
0.0000,-0.023413,1.545392
0.0000,-0.232717,1.545392
0.0000,-0.016016,1.545392
0.0000,-0.192167,1.545392
0.0000,-0.247090,1.545392
0.0000,-0.402310,1.545392
0.0000,0.202724,1.545392
0.0000,0.263771,1.545392
0.0000,0.227669,1.545392
0.0000,0.187672,1.545392
0.0000,0.095780,1.545392
0.0000,0.096665,1.545392
0.0000,0.022511,1.545392
0.0000,-0.008742,1.545392
0.0000,-0.011258,1.545392
0.0000,-0.010584,1.545392
0.0000,-0.278186,1.545392
0.0000,0.261014,1.545392
0.0000,0.041954,1.545392
0.0000,0.143426,1.545392
0.0000,-0.016483,1.545392
0.0000,0.201444,1.545392
0.0000,0.191678,1.545392
0.0000,0.078170,1.545392
0.0000,0.499387,1.545392
0.0000,-0.146531,1.545392
0.0000,0.172404,1.545392
0.0000,0.267377,1.545392
0.0000,0.107555,1.545392
0.0000,-0.291859,1.545392
0.0000,0.011811,1.545392
0.0000,-0.207813,1.545392
0.0000,-0.317258,1.545392
0.0000,0.033879,1.545392
0.0000,-0.052924,1.545392
0.0000,-0.029943,1.545392
0.0000,-0.123284,1.545392
0.0000,0.141160,1.545392
0.0000,-0.264741,1.545392
0.0000,0.375134,1.545392
0.0000,0.011615,1.545392
0.0000,0.184881,1.545392
0.0000,-0.082671,1.545392
0.0000,-0.080522,1.545392
0.0000,-0.123740,1.545392
0.0000,0.125726,1.545392
0.0000,0.185287,1.545392
0.0000,0.246595,1.545392
0.0000,-0.087700,1.545392
0.0000,0.252248,1.545392
0.0000,-0.045912,1.545392
0.0000,0.159352,1.545392
0.0000,0.084350,1.545392
0.0000,-0.241784,1.545392
0.0000,0.506273,1.545392
0.0000,-0.321239,1.545392
0.0000,-0.310773,1.545392
0.0000,-0.201514,1.545392
0.0000,0.321226,1.545392
0.0000,-0.165159,1.545392
0.0000,0.095965,1.545392
0.0000,-0.047835,1.545392
0.0000,-0.049069,1.545392
0.0000,0.017720,1.545392
0.0000,0.168060,1.545392
0.0000,-0.047382,1.545392
0.0000,0.177671,1.545392
0.0000,-0.337227,1.545392
0.0000,-0.012591,1.545392
0.0000,-0.019822,1.545392
0.0000,-0.057836,1.545392
0.0000,-0.148590,1.545392
0.0000,-0.032933,1.545392
0.0000,-0.239306,1.545392
0.0000,-0.298309,1.545392
0.0000,0.302800,1.545392
0.0000,0.043952,1.545392
0.0000,0.286998,1.545392
0.0000,0.384339,1.545392
0.0000,0.265793,1.545392
0.0000,-0.035718,1.545392
0.0000,0.182018,1.545392
0.0000,-0.028646,1.545392
0.0000,-0.015604,1.545392
0.0000,0.155150,1.545392
0.0000,-0.002733,1.545392
0.0000,-0.081492,1.545392
0.0000,-0.134092,1.545392
0.0000,-0.130536,1.545392
0.0000,0.288162,1.545392
0.0000,0.070449,1.545392
0.0000,-0.285730,1.545392
0.0000,0.184342,1.545392
0.0000,-0.091939,1.545392
0.0000,-0.023271,1.545392
0.0000,0.302299,1.545392
0.0000,-0.228204,1.545392
0.0000,0.204004,1.545392
0.0000,-0.351907,1.545392
0.0000,-0.117792,1.545392
0.0000,0.058149,1.545392
0.0000,-0.259256,1.545392
0.0000,0.032867,1.545392
0.0000,0.065429,1.545392
0.0000,0.100303,1.545392
0.0000,-0.276931,1.545392
0.0000,0.227980,1.545392
0.0000,0.043349,1.545392
0.0000,0.185634,1.545392
0.0000,0.037737,1.545392
0.0000,0.191003,1.545392
0.0000,-0.554666,1.545392
0.0000,0.042818,1.545392
0.0000,-0.172958,1.545392
0.0000,-0.034922,1.545392
0.0000,0.141730,1.545392
0.0000,-0.234237,1.545392
0.0000,0.496719,1.545392
0.0000,0.045096,1.545392
0.0000,0.038580,1.545392
0.0000,-0.254007,1.545392
0.0000,0.026809,1.545392
0.0000,0.069990,1.545392
0.0000,0.098294,1.545392
0.0000,-0.018390,1.545392
0.0000,0.616159,1.545392
0.0000,-0.028238,1.545392
0.0000,0.220456,1.545392
0.0000,-0.096189,1.545392
0.0000,0.047006,1.545392
0.0000,0.387421,1.545392
0.0000,0.221573,1.545392
0.0000,-0.271968,1.545392
0.0000,0.192229,1.545392
0.0000,-0.266631,1.545392
0.0000,0.073751,1.545392
0.0000,-0.150800,1.545392
0.0000,-0.081463,1.545392
0.0000,0.353553,1.545392
0.0000,-0.348159,1.545392
0.0000,-0.224546,1.545392
0.0000,0.061978,1.545392
0.0000,-0.334877,1.545392
0.0000,0.282684,1.545392
0.0000,0.103836,1.545392
0.0000,0.060632,1.545392
0.0000,-0.021481,1.545392
0.0000,-0.255975,1.545392
0.0000,0.048598,1.545392
0.0000,-0.164906,1.545392
0.0000,0.414070,1.545392
0.0000,-0.126198,1.545392
0.0000,-0.541622,1.545392
0.0000,-0.069706,1.545392
0.0000,0.042498,1.545392
0.0000,0.355893,1.545392
0.0000,0.051591,1.545392
0.0000,-0.167863,1.545392
0.0000,-0.008966,1.545392
0.0000,0.206046,1.545392
0.0000,0.317415,1.545392
0.0000,0.055506,1.545392
0.0000,-0.065723,1.545392
0.0000,0.092618,1.545392
0.0000,0.115073,1.545392
0.0000,-0.176701,1.545392
0.0000,-0.039399,1.545392
0.0000,0.314587,1.545392
0.0000,0.095236,1.545392
0.0000,0.129786,1.545392
0.0000,-0.435799,1.545392
0.0000,-0.032375,1.545392
0.0000,-0.060722,1.545392
0.0000,0.234169,1.545392
0.0000,-0.126883,1.545392
0.0000,0.114885,1.545392
0.0000,-0.322834,1.545392
0.0000,-0.274734,1.545392
0.0000,0.163428,1.545392
0.0000,-0.206391,1.545392
0.0000,0.086827,1.545392
0.0000,-0.393777,1.545392
0.0000,-0.138178,1.545392
0.0000,0.231562,1.545392
0.0000,-0.140033,1.545392
0.0000,0.201133,1.545392
0.0000,0.272782,1.545392
0.0000,-0.409915,1.545392
0.0000,0.251852,1.545392
0.0000,-0.043062,1.545392
0.0000,-0.072439,1.545392
0.0000,-0.220575,1.545392
0.0000,0.295907,1.545392
0.0000,-0.260013,1.545392
0.0000,0.261206,1.545392
0.0000,0.224092,1.545392
0.0000,0.069572,1.545392
0.0000,-0.112699,1.545392
0.0000,-0.028992,1.545392
0.0000,0.396621,1.545392
0.0000,0.102307,1.545392
0.0000,-0.083783,1.545392
0.0000,-0.245822,1.545392
0.0000,0.234581,1.545392
0.0000,-0.094550,1.545392
0.0000,-0.040536,1.545392
0.0000,0.089112,1.545392
0.0000,-0.265072,1.545392
0.0000,-0.104009,1.545392
0.0000,0.005607,1.545392
0.0000,0.101822,1.545392
0.0000,-0.090038,1.545392
0.0000,-0.219423,1.545392
0.0000,-0.263425,1.545392
0.0000,0.059515,1.545392
0.0000,0.009337,1.545392
0.0000,0.096559,1.545392
0.0000,0.265173,1.545392
0.0000,0.242013,1.545392
0.0000,0.053388,1.545392
0.0000,0.098738,1.545392
0.0000,0.042970,1.545392
0.0000,-0.070998,1.545392
0.0000,0.113264,1.545392
0.0000,0.027412,1.545392
0.0000,0.292830,1.545392
0.0000,-0.328382,1.545392
0.0000,-0.025069,1.545392
0.0000,0.164710,1.545392
0.0000,-0.235315,1.545392
0.0000,-0.284703,1.545392
0.0000,0.046998,1.545392
0.0000,-0.048204,1.545392
0.0000,0.164236,1.545392
0.0000,-0.018939,1.545392
0.0000,-0.402948,1.545392
0.0000,-0.166508,1.545392
0.0000,-0.115025,1.545392
0.0000,-0.399678,1.545392
0.0000,-0.223269,1.545392
0.0000,0.201076,1.545392
0.0000,-0.037679,1.545392
0.0000,-0.091398,1.545392
0.0000,-0.122321,1.545392
0.0000,-0.076979,1.545392
0.0000,-0.042342,1.545392
0.0000,-0.212965,1.545392
0.0000,0.281614,1.545392
0.0000,0.117636,1.545392
0.0000,0.081383,1.545392
0.0000,0.412694,1.545392
0.0000,-0.044593,1.545392
0.0000,0.142748,1.545392
0.0000,-0.194202,1.545392
0.0000,0.403896,1.545392
0.0000,-0.092238,1.545392
0.0000,0.043313,1.545392
0.0000,0.213310,1.545392
0.0000,0.144138,1.545392
0.0000,0.250756,1.545392
0.0000,-0.067428,1.545392
0.0000,-0.055522,1.545392
0.0000,-0.062382,1.545392
0.0000,-0.064913,1.545392
0.0000,0.047989,1.545392
0.0000,0.083192,1.545392
0.0000,-0.344048,1.545392
0.0000,0.007415,1.545392
0.0000,-0.110658,1.545392
0.0000,-0.250213,1.545392
0.0000,-0.176032,1.545392
0.0000,-0.198981,1.545392
0.0000,-0.037503,1.545392
0.0000,0.013046,1.545392
0.0000,0.164898,1.545392
0.0000,0.218440,1.545392
0.0000,-0.110916,1.545392
0.0000,0.088846,1.545392
0.0000,-0.227302,1.545392
0.0000,0.216923,1.545392
0.0000,-0.060897,1.545392
0.0000,-0.079960,1.545392
0.0000,-0.039702,1.545392
0.0000,0.110413,1.545392
0.0000,-0.076849,1.545392
0.0000,0.088713,1.545392
0.0000,0.405526,1.545392
0.0000,-0.201484,1.545392
0.0000,-0.251193,1.545392
0.0000,0.161193,1.545392
0.0000,-0.073579,1.545392
0.0000,0.151846,1.545392
0.0000,0.190186,1.545392
0.0000,-0.013094,1.545392
0.0000,-0.095832,1.545392
0.0000,0.174997,1.545392
0.0000,0.386843,1.545392
0.0000,0.064316,1.545392
0.0000,0.211559,1.545392
0.0000,-0.273220,1.545392
0.0000,0.045852,1.545392
0.0000,0.165536,1.545392
0.0000,0.026504,1.545392
0.0000,-0.217767,1.545392
0.0000,-0.241041,1.545392
0.0000,-0.091606,1.545392
0.0000,0.036901,1.545392
0.0000,0.042997,1.545392
0.0000,-0.067763,1.545392
0.0000,0.251856,1.545392
0.0000,0.006265,1.545392
0.0000,0.144821,1.545392
0.0000,0.088104,1.545392
0.0000,0.058542,1.545392
0.0000,0.097409,1.545392
0.0000,-0.423587,1.545392
0.0000,0.197326,1.545392
0.0000,-0.391596,1.545392
0.0000,-0.548355,1.545392
0.0000,0.031972,1.545392
0.0000,-0.188799,1.545392
0.0000,0.076547,1.545392
0.0000,-0.120272,1.545392
0.0000,0.441617,1.545392
0.0000,0.150409,1.545392
0.0000,-0.275046,1.545392
0.0000,0.137440,1.545392
0.0000,0.038579,1.545392
0.0000,-0.159832,1.545392
0.0000,0.234514,1.545392
0.0000,0.423574,1.545392
0.0000,0.031466,1.545392
0.0000,-0.132400,1.545392
0.0000,0.131723,1.545392
0.0000,-0.377360,1.545392
0.0000,0.152494,1.545392
0.0000,0.240453,1.545392
0.0000,-0.081517,1.545392
0.0000,0.178340,1.545392
0.0000,-0.442139,1.545392
0.0000,-0.002653,1.545392
0.0000,0.187113,1.545392
0.0000,0.217480,1.545392
0.0000,-0.260531,1.545392
0.0000,0.065442,1.545392
0.0000,-0.112314,1.545392
0.0000,0.385578,1.545392
0.0000,-0.174225,1.545392
0.0000,-0.079426,1.545392
0.0000,0.223287,1.545392
0.0000,0.252693,1.545392
0.0000,-0.157501,1.545392
0.0000,-0.069762,1.545392
0.0000,-0.188248,1.545392
0.0000,0.408629,1.545392
0.0000,-0.374611,1.545392
0.0000,-0.298179,1.545392
0.0000,-0.160230,1.545392
0.0000,0.146584,1.545392
0.0000,0.117615,1.545392
0.0000,0.153125,1.545392
0.0000,0.061391,1.545392
0.0000,0.034788,1.545392
0.0000,0.280590,1.545392
0.0000,0.199124,1.545392
0.0000,0.106975,1.545392
0.0000,0.044599,1.545392
0.0000,-0.205809,1.545392
0.0000,0.133373,1.545392
0.0000,-0.232592,1.545392
0.0000,-0.183352,1.545392
0.0000,0.014130,1.545392
0.0000,0.071809,1.545392
0.0000,0.197200,1.545392
0.0000,0.376383,1.545392
0.0000,0.123642,1.545392
0.0000,0.150503,1.545392
0.0000,-0.054533,1.545392
0.0000,0.000924,1.545392
0.0000,0.283751,1.545392
0.0000,-0.313579,1.545392
0.0000,0.165485,1.545392
0.0000,-0.347905,1.545392
0.0000,-0.345417,1.545392
0.0000,0.179581,1.545392
0.0000,-0.346929,1.545392
0.0000,-0.367311,1.545392
0.0000,-0.289419,1.545392
0.0000,-0.198474,1.545392
0.0000,0.010973,1.545392
0.0000,-0.348943,1.545392
0.0000,-0.115780,1.545392
0.0000,-0.041940,1.545392
0.0000,0.170906,1.545392
0.0000,0.080009,1.545392
0.0000,-0.059826,1.545392
0.0000,-0.306614,1.545392
0.0000,0.037545,1.545392
0.0000,0.021330,1.545392
0.0000,0.045487,1.545392
0.0000,-0.161940,1.545392
0.0000,0.185591,1.545392
0.0000,-0.152807,1.545392
0.0000,-0.160259,1.545392
0.0000,0.133223,1.545392
0.0000,-0.162075,1.545392
0.0000,0.163278,1.545392
0.0000,0.305231,1.545392
0.0000,0.074733,1.545392
0.0000,-0.229002,1.545392
0.0000,0.531818,1.545392
0.0000,0.032998,1.545392
0.0000,-0.225311,1.545392
0.0000,0.217098,1.545392
0.0000,-0.105890,1.545392
0.0000,-0.289134,1.545392
0.0000,0.217937,1.545392
0.0000,-0.388538,1.545392
0.0000,-0.136741,1.545392
0.0000,-0.221966,1.545392
0.0000,0.395735,1.545392
0.0000,-0.377638,1.545392
0.0000,0.104111,1.545392
0.0000,-0.315052,1.545392
0.0000,-0.173318,1.545392
0.0000,-0.086002,1.545392
0.0000,-0.036654,1.545392
0.0000,-0.268841,1.545392
0.0000,0.035144,1.545392
0.0000,-0.150271,1.545392
0.0000,0.105978,1.545392
0.0000,0.106390,1.545392
0.0000,-0.109277,1.545392
0.0000,-0.075566,1.545392
0.0000,0.095474,1.545392
0.0000,0.372149,1.545392
0.0000,0.160470,1.545392
0.0000,-0.396135,1.545392
0.0000,-0.028496,1.545392
0.0000,-0.153197,1.545392
0.0000,-0.117681,1.545392
0.0000,0.069435,1.545392
0.0000,0.303091,1.545392
0.0000,-0.004872,1.545392
0.0000,-0.119066,1.545392
0.0000,-0.089630,1.545392
0.0000,0.111171,1.545392
0.0000,0.607393,1.545392
0.0000,-0.030299,1.545392
0.0000,0.129499,1.545392
0.0000,-0.116043,1.545392
0.0000,0.034507,1.545392
0.0000,-0.337996,1.545392
0.0000,0.334433,1.545392
0.0000,-0.259037,1.545392
0.0000,0.056398,1.545392
0.0000,-0.014666,1.545392
0.0000,0.096886,1.545392
0.0000,0.036906,1.545392
0.0000,0.440549,1.545392
0.0000,0.187314,1.545392
0.0000,0.110474,1.545392
0.0000,-0.076007,1.545392
0.0000,0.007663,1.545392
0.0000,0.121061,1.545392
0.0000,-0.121326,1.545392
0.0000,-0.264592,1.545392
0.0000,0.000757,1.545392
0.0000,-0.171246,1.545392
0.0000,0.287104,1.545392
0.0000,-0.098878,1.545392
0.0000,0.109923,1.545392
0.0000,-0.098561,1.545392
0.0000,0.144236,1.545392
0.0000,-0.498908,1.545392
0.0000,0.280647,1.545392
0.0000,-0.083903,1.545392
0.0000,0.244428,1.545392
0.0000,0.147006,1.545392
0.0000,0.669611,1.545392
0.0000,-0.125082,1.545392
0.0000,0.210634,1.545392
0.0000,0.337848,1.545392
0.0000,0.058321,1.545392
0.0000,0.261667,1.545392
0.0000,0.310312,1.545392
0.0000,0.372173,1.545392
0.0000,-0.017159,1.545392
0.0000,-0.144380,1.545392
0.0000,-0.174702,1.545392
0.0000,0.023389,1.545392
0.0000,0.069980,1.545392
0.0000,0.144366,1.545392
0.0000,0.085902,1.545392
0.0000,0.025871,1.545392
0.0000,-0.146400,1.545392
0.0000,0.205578,1.545392
0.0000,0.387879,1.545392
0.0000,-0.098206,1.545392
0.0000,0.081110,1.545392
0.0000,-0.074422,1.545392
0.0000,0.315393,1.545392
0.0000,0.284577,1.545392
0.0000,-0.092853,1.545392
0.0000,0.169970,1.545392
0.0000,-0.436128,1.545392
0.0000,0.176962,1.545392
0.0000,0.145638,1.545392
0.0000,-0.003672,1.545392
0.0000,0.198016,1.545392
0.0000,0.045882,1.545392
0.0000,-0.104645,1.545392
0.0000,-0.167138,1.545392
0.0000,0.306040,1.545392
0.0000,-0.008874,1.545392
0.0000,0.102284,1.545392
0.0000,-0.210134,1.545392
0.0000,0.156689,1.545392
0.0000,-0.024091,1.545392
0.0000,-0.107106,1.545392
0.0000,0.081413,1.545392
0.0000,0.090110,1.545392
0.0000,0.336847,1.545392
0.0000,-0.245116,1.545392
0.0000,0.214225,1.545392
0.0000,0.073346,1.545392
0.0000,0.184567,1.545392
0.0000,-0.029252,1.545392
0.0000,0.098887,1.545392
0.0000,0.465175,1.545392
0.0000,0.201475,1.545392
0.0000,0.027576,1.545392
0.0000,-0.192464,1.545392
0.0000,0.022693,1.545392
0.0000,-0.035644,1.545392
0.0000,-0.140360,1.545392
0.0000,0.079972,1.545392
0.0000,0.269684,1.545392
0.0000,0.073872,1.545392
0.0000,0.267290,1.545392
0.0000,-0.218975,1.545392
0.0000,0.107437,1.545392
0.0000,0.059321,1.545392
0.0000,-0.069226,1.545392
0.0000,-0.004810,1.545392
0.0000,0.357356,1.545392
0.0000,0.340706,1.545392
0.0000,0.062508,1.545392
0.0000,0.322039,1.545392
0.0000,-0.272810,1.545392
0.0000,-0.111021,1.545392
0.0000,-0.202913,1.545392
0.0000,0.223991,1.545392
0.0000,0.239286,1.545392
0.0000,-0.384449,1.545392
0.0000,-0.083541,1.545392
0.0000,-0.154908,1.545392
0.0000,-0.163907,1.545392
0.0000,-0.159797,1.545392
0.0000,-0.377632,1.545392
0.0000,-0.127772,1.545392
0.0000,0.150628,1.545392
0.0000,-0.349017,1.545392
0.0000,-0.150020,1.545392
0.0000,0.280477,1.545392
0.0000,-0.161921,1.545392
0.0000,0.036953,1.545392
0.0000,-0.047883,1.545392
0.0000,0.107603,1.545392
0.0000,-0.122493,1.545392
0.0000,-0.123849,1.545392
0.0000,-0.239745,1.545392
0.0000,0.072215,1.545392
0.0000,-0.027938,1.545392
0.0000,-0.120953,1.545392
0.0000,0.101555,1.545392
0.0000,-0.170446,1.545392
0.0000,0.156699,1.545392
0.0000,-0.024543,1.545392
0.0000,-0.038805,1.545392
0.0000,0.226601,1.545392
0.0000,-0.045650,1.545392
0.0000,0.017659,1.545392
0.0000,-0.037395,1.545392
0.0000,0.124516,1.545392
0.0000,-0.065199,1.545392
0.0000,0.329534,1.545392
0.0000,-0.400028,1.545392
0.0000,-0.267230,1.545392
0.0000,-0.404938,1.545392
0.0000,-0.110755,1.545392
0.0000,0.224913,1.545392
0.0000,-0.223044,1.545392
0.0000,-0.440813,1.545392
0.0000,-0.296702,1.545392
0.0000,0.334368,1.545392
0.0000,-0.285407,1.545392
0.0000,-0.062753,1.545392
0.0000,0.085187,1.545392
0.0000,-0.079817,1.545392
0.0000,-0.065192,1.545392
0.0000,-0.260301,1.545392
0.0000,0.019508,1.545392
0.0000,-0.111439,1.545392
0.0000,0.146951,1.545392
0.0000,0.005785,1.545392
0.0000,-0.039571,1.545392
0.0000,0.015331,1.545392
0.0000,0.355882,1.545392
0.0000,0.033762,1.545392
0.0000,0.217896,1.545392
0.0000,0.324102,1.545392
0.0000,0.028094,1.545392
0.0000,-0.158636,1.545392
0.0000,0.167711,1.545392
0.0000,-0.054442,1.545392
0.0000,0.132008,1.545392
0.0000,0.086788,1.545392
0.0000,0.238998,1.545392
0.0000,-0.337584,1.545392
0.0000,0.050138,1.545392
0.0000,-0.133932,1.545392
0.0000,0.070062,1.545392
0.0000,0.184165,1.545392
0.0000,0.085147,1.545392
0.0000,0.025513,1.545392
0.0000,0.206418,1.545392
0.0000,0.054118,1.545392
0.0000,0.057003,1.545392
0.0000,-0.118006,1.545392
0.0000,0.151381,1.545392
0.0000,-0.322100,1.545392
0.0000,0.210025,1.545392
0.0000,0.369359,1.545392
0.0000,-0.032265,1.545392
0.0000,0.041716,1.545392
0.0000,-0.357040,1.545392
0.0000,-0.335272,1.545392
0.0000,-0.110794,1.545392
0.0000,-0.095958,1.545392
0.0000,0.058610,1.545392
0.0000,-0.054145,1.545392
0.0000,0.041282,1.545392
0.0000,-0.037750,1.545392
0.0000,-0.231587,1.545392
0.0000,0.327937,1.545392
0.0000,0.187704,1.545392
0.0000,0.261260,1.545392
0.0000,0.188020,1.545392
0.0000,-0.104418,1.545392
0.0000,0.012980,1.545392
0.0000,0.014847,1.545392
0.0000,0.399047,1.545392
0.0000,-0.217573,1.545392
0.0000,-0.244163,1.545392
0.0000,0.139846,1.545392
0.0000,0.116025,1.545392
0.0000,0.003808,1.545392
0.0000,0.032473,1.545392
0.0000,-0.151265,1.545392
0.0000,0.420506,1.545392
0.0000,-0.244839,1.545392
0.0000,0.096911,1.545392
0.0000,0.107871,1.545392
0.0000,-0.133698,1.545392
0.0000,-0.138272,1.545392
0.0000,-0.467120,1.545392
0.0000,0.330257,1.545392
0.0000,-0.033744,1.545392
0.0000,-0.280216,1.545392
0.0000,0.018582,1.545392
0.0000,0.038952,1.545392
0.0000,0.052870,1.545392
0.0000,-0.145375,1.545392
0.0000,0.092155,1.545392
0.0000,-0.288154,1.545392
0.0000,-0.288072,1.545392
0.0000,-0.288758,1.545392
0.0000,-0.220943,1.545392
0.0000,-0.193631,1.545392
0.0000,0.337422,1.545392
0.0000,0.321973,1.545392
0.0000,0.081470,1.545392
0.0000,-0.115421,1.545392
0.0000,-0.459063,1.545392
0.0000,-0.205956,1.545392
0.0000,-0.044572,1.545392
0.0000,-0.102326,1.545392
0.0000,-0.109603,1.545392
0.0000,0.026816,1.545392
0.0000,-0.345798,1.545392
0.0000,0.086544,1.545392
0.0000,-0.269328,1.545392
0.0000,-0.108338,1.545392
0.0000,0.039370,1.545392
0.0000,0.072110,1.545392
0.0000,0.176664,1.545392
0.0000,-0.052430,1.545392
0.0000,0.009356,1.545392
0.0000,0.262932,1.545392
0.0000,-0.424278,1.545392
0.0000,-0.040919,1.545392
0.0000,0.385180,1.545392
0.0000,-0.150076,1.545392
0.0000,0.032189,1.545392
0.0000,0.076045,1.545392
0.0000,0.190607,1.545392
0.0000,-0.068029,1.545392
0.0000,-0.001689,1.545392
0.0000,-0.033087,1.545392
0.0000,-0.041528,1.545392
0.0000,-0.200980,1.545392
0.0000,0.297477,1.545392
0.0000,0.020933,1.545392
0.0000,-0.392290,1.545392
0.0000,-0.331455,1.545392
0.0000,0.111698,1.545392
0.0000,-0.070347,1.545392
0.0000,-0.170984,1.545392
0.0000,0.179829,1.545392
0.0000,-0.056737,1.545392
0.0000,-0.046714,1.545392
0.0000,-0.007880,1.545392
0.0000,0.158562,1.545392
0.0000,0.267693,1.545392
0.0000,-0.242446,1.545392
0.0000,0.162179,1.545392
0.0000,0.203248,1.545392
0.0000,-0.197221,1.545392
0.0000,-0.073652,1.545392
0.0000,-0.174062,1.545392
0.0000,0.283094,1.545392
0.0000,0.092833,1.545392
0.0000,-0.219379,1.545392
0.0000,-0.056912,1.545392
0.0000,0.102144,1.545392
0.0000,0.077590,1.545392
0.0000,-0.166854,1.545392
0.0000,-0.320085,1.545392
0.0000,-0.290449,1.545392
0.0000,0.113081,1.545392
0.0000,-0.040270,1.545392
0.0000,0.047635,1.545392
0.0000,-0.020441,1.545392
0.0000,-0.241656,1.545392
0.0000,0.370850,1.545392
0.0000,-0.052944,1.545392
0.0000,-0.064192,1.545392
0.0000,-0.213890,1.545392
0.0000,-0.115311,1.545392
0.0000,0.301350,1.545392
0.0000,-0.260292,1.545392
0.0000,0.045633,1.545392
0.0000,-0.065474,1.545392
0.0000,0.499876,1.545392
